ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
JOB,0.330490405,,"
2021-09-30    31157000.0
2020-09-30    18163000.0
2019-09-30    18568000.0
2018-09-30    13119000.0
Name: Total Current Liabilities, dtype: float64","
2021-09-30    80769000.0
2020-09-30    27378000.0
2019-09-30     9209000.0
2018-09-30    21102000.0
Name: Total Stockholder Equity, dtype: float64","
2021-09-30    0.385754
2020-09-30    0.663416
2019-09-30    2.016288
2018-09-30    0.621695
dtype: float64","
2021-09-30     9947000.0
2020-09-30    14074000.0
2019-09-30     4055000.0
2018-09-30     3213000.0
Name: Cash, dtype: float64","
2021-09-30    33685000.0
2020-09-30    31514000.0
2019-09-30    27102000.0
2018-09-30    26234000.0
Name: Total Current Assets, dtype: float64"
GROY,,0.0156,"
2021-09-30    6920990.0
2020-09-30     196382.0
Name: Total Current Liabilities, dtype: float64","
2021-09-30    225317477.0
2020-09-30      -140926.0
Name: Total Stockholder Equity, dtype: float64","
2021-09-30    0.030717
2020-09-30   -1.393511
dtype: float64","
2021-09-30    9905480.0
2020-09-30      37539.0
Name: Cash, dtype: float64","
2021-09-30    13300780.0
2020-09-30       53869.0
Name: Total Current Assets, dtype: float64"
0J3X.L,,,,,,,
RSO.F,26.93467337,0.0136,"
2022-01-29    4.214929e+09
2021-01-30    3.967033e+09
2020-02-01    2.701934e+09
2019-02-02    2.009484e+09
Name: Total Current Liabilities, dtype: float64","
2022-01-29    4.060050e+09
2021-01-30    3.290640e+09
2020-02-01    3.359249e+09
2019-02-02    3.305746e+09
Name: Total Stockholder Equity, dtype: float64","
2022-01-29    1.038147
2021-01-30    1.205551
2020-02-01    0.804327
2019-02-02    0.607876
dtype: float64","
2022-01-29    4.922365e+09
2021-01-30    4.819293e+09
2020-02-01    1.351205e+09
2019-02-02    1.412912e+09
Name: Cash, dtype: float64","
2022-01-29    7.473176e+09
2021-01-30    6.692491e+09
2020-02-01    3.432828e+09
2019-02-02    3.404019e+09
Name: Total Current Assets, dtype: float64"
IGTA,,,"
2021-12-31    486201.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -1303407.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.373023
dtype: float64","
2021-12-31    1365181.0
Name: Cash, dtype: float64","
2021-12-31    1769943.0
Name: Total Current Assets, dtype: float64"
LZ,-0.299823633,,"
2021-12-31    228969000.0
2020-12-31    199933000.0
2019-12-31    158758000.0
2011-12-31     42876000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    197551000.0
2020-12-31   -550632000.0
2019-12-31   -556991000.0
2011-12-31    -59810000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.159037
2020-12-31   -0.363097
2019-12-31   -0.285028
2011-12-31   -0.716870
dtype: float64","
2021-12-31    239297000.0
2020-12-31    114470000.0
2019-12-31     49180000.0
2011-12-31     27108000.0
Name: Cash, dtype: float64","
2021-12-31    266521000.0
2020-12-31    133561000.0
2019-12-31     69446000.0
2011-12-31     40560000.0
Name: Total Current Assets, dtype: float64"
XGR.F,,0.0112,"
2021-09-30    5.227000e+09
2020-09-30    4.499000e+09
2019-09-30    5.410000e+09
2018-09-30    5.608000e+09
Name: Total Current Liabilities, dtype: float64","
2021-09-30    4.891000e+09
2020-09-30    4.790000e+09
2019-09-30    3.360000e+09
2018-09-30    2.642000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-09-30    1.068698
2020-09-30    0.939248
2019-09-30    1.610119
2018-09-30    2.122634
dtype: float64","
2021-09-30    1.840000e+09
2020-09-30    1.484000e+09
2019-09-30    3.980000e+08
2018-09-30    9.690000e+08
Name: Cash, dtype: float64","
2021-09-30    4.952000e+09
2020-09-30    4.242000e+09
2019-09-30    4.076000e+09
2018-09-30    4.513000e+09
Name: Total Current Assets, dtype: float64"
0HQP.L,,,"
2021-12-31    8.418869e+09
2020-12-31    7.143983e+09
2019-12-31    6.436451e+09
2018-12-31    5.803380e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    8.528193e+09
2020-12-31    7.078326e+09
2019-12-31    6.232693e+09
2018-12-31    4.938797e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.987181
2020-12-31    1.009276
2019-12-31    1.032692
2018-12-31    1.175059
dtype: float64","
2021-12-31    2.430951e+09
2020-12-31    1.896188e+09
2019-12-31    9.717810e+08
2018-12-31    7.772190e+08
Name: Cash, dtype: float64","
2021-12-31    1.008236e+10
2020-12-31    8.845631e+09
2019-12-31    7.534464e+09
2018-12-31    6.754210e+09
Name: Total Current Assets, dtype: float64"
GFX,,,"
2021-12-31    258427.0
2020-12-31     71510.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -28674243.0
2020-12-31   -47997420.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.009013
2020-12-31   -0.001490
dtype: float64","
2021-12-31     11880.0
2020-12-31    990870.0
Name: Cash, dtype: float64","
2021-12-31     206755.0
2020-12-31    1534220.0
Name: Total Current Assets, dtype: float64"
RVNC,0.530536706,,"
2021-12-31    67289000.0
2020-12-31    60964000.0
2019-12-31    40979000.0
2018-12-31    31970000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31     68471000.0
2020-12-31    374290000.0
2019-12-31    225490000.0
2018-12-31    145622000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.982737
2020-12-31    0.162879
2019-12-31    0.181733
2018-12-31    0.219541
dtype: float64","
2021-12-31    110623000.0
2020-12-31    333558000.0
2019-12-31    171160000.0
2018-12-31     73256000.0
Name: Cash, dtype: float64","
2021-12-31    246117000.0
2020-12-31    450003000.0
2019-12-31    296602000.0
2018-12-31    207922000.0
Name: Total Current Assets, dtype: float64"
0L8F.L,,,"
2021-12-31    9.164000e+09
2020-12-31    7.506000e+09
2019-12-31    8.952000e+09
2018-12-31    7.905000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.041400e+10
2020-12-31    8.876000e+09
2019-12-31    9.832000e+09
2018-12-31    9.853000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.879969
2020-12-31    0.845651
2019-12-31    0.910496
2018-12-31    0.802294
dtype: float64","
2021-12-31    1.248000e+10
2020-12-31    1.106300e+10
2019-12-31    2.548000e+09
2018-12-31    1.854000e+09
Name: Cash, dtype: float64","
2021-12-31    1.803600e+10
2020-12-31    1.517300e+10
2019-12-31    5.974000e+09
2018-12-31    5.028000e+09
Name: Total Current Assets, dtype: float64"
ACRO,,,"
2021-12-31    2556647.0
2020-12-31      57900.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -12896392.0
2020-12-31       25000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.198245
2020-12-31    2.316000
dtype: float64","
2021-12-31    430391.0
2020-12-31         NaN
Name: Cash, dtype: float64","
2021-12-31    1668434.0
2020-12-31      25000.0
Name: Total Current Assets, dtype: float64"
IRWD,1.606060606,,"
2021-12-31    161698000.0
2020-12-31     32173000.0
2019-12-31     40929000.0
2018-12-31    119524000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    605911000.0
2020-12-31     62640000.0
2019-12-31    -93251000.0
2018-12-31   -196371000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.266868
2020-12-31    0.513617
2019-12-31   -0.438912
2018-12-31   -0.608664
dtype: float64","
2021-12-31    620129000.0
2020-12-31    362564000.0
2019-12-31    177023000.0
2018-12-31    173172000.0
Name: Cash, dtype: float64","
2021-12-31    745225000.0
2020-12-31    495839000.0
2019-12-31    306852000.0
2018-12-31    266435000.0
Name: Total Current Assets, dtype: float64"
ILMN,1.682242991,,"
2022-01-02    1.093000e+09
2021-01-03    1.244000e+09
2019-12-29    6.650000e+08
2018-12-30    1.804000e+09
Name: Total Current Liabilities, dtype: float64","
2022-01-02    1.074000e+10
2021-01-03    4.694000e+09
2019-12-29    4.613000e+09
2018-12-30    3.758000e+09
Name: Total Stockholder Equity, dtype: float64","
2022-01-02    0.101769
2021-01-03    0.265019
2019-12-29    0.144158
2018-12-30    0.480043
dtype: float64","
2022-01-02    1.232000e+09
2021-01-03    1.810000e+09
2019-12-29    2.042000e+09
2018-12-30    1.144000e+09
Name: Cash, dtype: float64","
2022-01-02    2.713000e+09
2021-01-03    4.483000e+09
2019-12-29    4.451000e+09
2018-12-30    4.490000e+09
Name: Total Current Assets, dtype: float64"
FINS,,0.08939999,"
2022-01-31    55362029.0
2021-01-31    87129144.0
2020-01-31    56043464.0
Name: Total Current Liabilities, dtype: float64","
2022-01-31    357855465.0
2021-01-31    284579622.0
2020-01-31    236462143.0
Name: Total Stockholder Equity, dtype: float64","
2022-01-31    0.154705
2021-01-31    0.306168
2020-01-31    0.237008
dtype: float64","
2022-01-31         NaN
2021-01-31    100000.0
2020-01-31    100000.0
Name: Cash, dtype: float64","
2022-01-31    9514031.0
2021-01-31    8691247.0
2020-01-31    3263867.0
Name: Total Current Assets, dtype: float64"
WULF,,,"
2021-12-31    45857000.0
2021-03-31     1739000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    123179000.0
2021-03-31     28266000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.372279
2021-03-31    0.061523
dtype: float64","
2021-12-31    43448000.0
2021-03-31     6300000.0
Name: Cash, dtype: float64","
2021-12-31    68052000.0
2021-03-31     6305000.0
Name: Total Current Assets, dtype: float64"
0IC9.L,,,"
2021-12-31    8.673000e+09
2020-12-31    1.084300e+10
2019-12-31    9.940000e+09
2018-12-31    7.647000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.552500e+10
2020-12-31    2.373000e+10
2019-12-31    2.960700e+10
2018-12-31    2.010700e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.339785
2020-12-31    0.456932
2019-12-31    0.335731
2018-12-31    0.380315
dtype: float64","
2021-12-31    283000000.0
2020-12-31    172000000.0
2019-12-31    135000000.0
2018-12-31    268000000.0
Name: Cash, dtype: float64","
2021-12-31    7.269000e+09
2020-12-31    6.886000e+09
2019-12-31    6.096000e+09
2018-12-31    5.161000e+09
Name: Total Current Assets, dtype: float64"
ADSE,0.002509561,,"
2021-12-31    30440000.0
2020-12-31    23467000.0
2019-12-31    44097000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    96892000.0
2020-12-31    -8589000.0
2019-12-31     1691000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31     0.314164
2020-12-31    -2.732216
2019-12-31    26.077469
dtype: float64","
2021-12-31    101813000.0
2020-12-31        18000.0
2019-12-31      9325000.0
Name: Cash, dtype: float64","
2021-12-31    127152000.0
2020-12-31     25325000.0
2019-12-31     49335000.0
Name: Total Current Assets, dtype: float64"
SBCF,1.010401189,0.0226,"
2021-12-31    8.195751e+09
2020-12-31    7.052170e+09
2019-12-31    5.985874e+09
2018-12-31    5.771563e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.310736e+09
2020-12-31    1.130402e+09
2019-12-31    9.856390e+08
2018-12-31    8.642670e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    6.252785
2020-12-31    6.238639
2019-12-31    6.073090
2018-12-31    6.677986
dtype: float64","
2021-12-31    737729000.0
2020-12-31    404088000.0
2019-12-31    124531000.0
2018-12-31    115951000.0
Name: Cash, dtype: float64","
2021-12-31    802528000.0
2020-12-31    516882000.0
2019-12-31    179392000.0
2018-12-31    148869000.0
Name: Total Current Assets, dtype: float64"
ATAKR,,,,,,,
TL0.F,,,"
2021-12-31    1.970500e+10
2020-12-31    1.424800e+10
2019-12-31    1.066700e+10
2018-12-31    9.993000e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.018900e+10
2020-12-31    2.222500e+10
2019-12-31    6.618000e+09
2018-12-31    4.923000e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.652721
2020-12-31    0.641080
2019-12-31    1.611816
2018-12-31    2.029860
dtype: float64","
2021-12-31    1.757600e+10
2020-12-31    1.938400e+10
2019-12-31    6.268000e+09
2018-12-31    3.686000e+09
Name: Cash, dtype: float64","
2021-12-31    2.710000e+10
2020-12-31    2.671700e+10
2019-12-31    1.210300e+10
2018-12-31    8.307000e+09
Name: Total Current Assets, dtype: float64"
CERT,-1.15,,"
2021-12-31    92225000.0
2020-12-31    75345000.0
2019-12-31    63002000.0
2018-12-31    65451000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.041849e+09
2020-12-31    8.221320e+08
2019-12-31    4.920480e+08
2018-12-31    4.927690e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.088521
2020-12-31    0.091646
2019-12-31    0.128040
2018-12-31    0.132823
dtype: float64","
2021-12-31    185797000.0
2020-12-31    271382000.0
2019-12-31     29256000.0
2018-12-31     11684000.0
Name: Cash, dtype: float64","
2021-12-31    274727000.0
2020-12-31    346584000.0
2019-12-31     87523000.0
2018-12-31     68930000.0
Name: Total Current Assets, dtype: float64"
PEO.F,1.961607678,0.036199998,"
2021-12-31    1.611100e+10
2020-12-31    1.277100e+10
2019-12-31    1.418500e+10
2018-12-31    1.140400e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3.439300e+10
2020-12-31    3.258500e+10
2019-12-31    3.222400e+10
2018-12-31    3.074100e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.468438
2020-12-31    0.391929
2019-12-31    0.440200
2018-12-31    0.370970
dtype: float64","
2021-12-31    1.182000e+09
2020-12-31    6.630000e+08
2019-12-31    5.870000e+08
2018-12-31    1.349000e+09
Name: Cash, dtype: float64","
2021-12-31    1.395700e+10
2020-12-31    1.256200e+10
2019-12-31    1.203700e+10
2018-12-31    1.332800e+10
Name: Total Current Assets, dtype: float64"
MAIA,,,"
2021-12-31    2145996.0
2020-12-31    1693744.0
2019-12-31     374565.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    9181203.0
2020-12-31   -3336087.0
2019-12-31    -172867.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.233738
2020-12-31   -0.507704
2019-12-31   -2.166781
dtype: float64","
2021-12-31    10574292.0
2020-12-31      663457.0
2019-12-31     1709565.0
Name: Cash, dtype: float64","
2021-12-31    10672495.0
2020-12-31      746505.0
2019-12-31     1734529.0
Name: Total Current Assets, dtype: float64"
CYJBF,,0.0373,"
2021-12-31    1.389600e+09
2020-12-31    1.353400e+09
2019-12-31    1.624400e+09
2018-12-31    1.348600e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.544300e+09
2020-12-31    1.298700e+09
2019-12-31    1.424500e+09
2018-12-31    1.425600e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.899825
2020-12-31    1.042119
2019-12-31    1.140330
2018-12-31    0.945988
dtype: float64","
2021-12-31    488800000.0
2020-12-31    484800000.0
2019-12-31    420200000.0
2018-12-31    256300000.0
Name: Cash, dtype: float64","
2021-12-31    2.216200e+09
2020-12-31    2.047100e+09
2019-12-31    2.091400e+09
2018-12-31    1.842800e+09
Name: Total Current Assets, dtype: float64"
AIH,-0.180746562,,"
2021-12-31    541657000.0
2020-12-31    301688000.0
2019-12-31    265302000.0
2018-12-31    171292000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -156667000.0
2020-12-31    390896000.0
2019-12-31    547481000.0
2018-12-31   -278410000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -3.457378
2020-12-31    0.771786
2019-12-31    0.484587
2018-12-31   -0.615251
dtype: float64","
2021-12-31     39289000.0
2020-12-31     44384000.0
2019-12-31    154490000.0
2018-12-31    101886000.0
Name: Cash, dtype: float64","
2021-12-31    113710000.0
2020-12-31    206164000.0
2019-12-31    264694000.0
2018-12-31    282967000.0
Name: Total Current Assets, dtype: float64"
VMD,,,"
2021-12-31    17811000.0
2020-12-31    23017000.0
2019-12-31    25912000.0
2018-12-31    19571000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    94820000.0
2020-12-31    81693000.0
2019-12-31    43699000.0
2018-12-31    32571000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.187840
2020-12-31    0.281750
2019-12-31    0.592966
2018-12-31    0.600872
dtype: float64","
2021-12-31    28408000.0
2020-12-31    30981000.0
2019-12-31    13355000.0
2018-12-31    10413000.0
Name: Cash, dtype: float64","
2021-12-31    47310000.0
2020-12-31    47175000.0
2019-12-31    27811000.0
2018-12-31    23091000.0
Name: Total Current Assets, dtype: float64"
CNGLU,,,,,,,
HSDT,0.491421569,,"
2021-12-31     2653000.0
2020-12-31     2424000.0
2019-12-31     3802000.0
2018-12-31    17973000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    11256000.0
2020-12-31     3871000.0
2019-12-31     5835000.0
2018-12-31     9854000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.235697
2020-12-31    0.626195
2019-12-31    0.651585
2018-12-31    1.823929
dtype: float64","
2021-12-31    11005000.0
2020-12-31     3331000.0
2019-12-31     5459000.0
2018-12-31    25583000.0
Name: Cash, dtype: float64","
2021-12-31    12594000.0
2020-12-31     4685000.0
2019-12-31     7241000.0
2018-12-31    26961000.0
Name: Total Current Assets, dtype: float64"
SWX,1.026570048,0.0352,"
2021-12-31    3.112049e+09
2020-12-31    9.119670e+08
2019-12-31    1.079861e+09
2018-12-31    9.386450e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.953820e+09
2020-12-31    2.674953e+09
2019-12-31    2.505914e+09
2018-12-31    2.252042e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    1.053568
2020-12-31    0.340928
2019-12-31    0.430925
2018-12-31    0.416797
dtype: float64","
2021-12-31    222697000.0
2020-12-31     83352000.0
2019-12-31     49539000.0
2018-12-31     85361000.0
Name: Cash, dtype: float64","
2021-12-31    1.614767e+09
2020-12-31    8.710130e+08
2019-12-31    8.598560e+08
2018-12-31    8.397690e+08
Name: Total Current Assets, dtype: float64"
0JCT.L,,,"
2022-07-31    3.630000e+09
2021-07-31    2.655000e+09
2020-07-31    3.529000e+09
2019-07-31    1.966000e+09
Name: Total Current Liabilities, dtype: float64","
2022-07-31    1.644100e+10
2021-07-31    9.869000e+09
2020-07-31    5.106000e+09
2019-07-31    3.749000e+09
Name: Total Stockholder Equity, dtype: float64","
2022-07-31    0.220789
2021-07-31    0.269024
2020-07-31    0.691148
2019-07-31    0.524407
dtype: float64","
2022-07-31    2.796000e+09
2021-07-31    2.562000e+09
2020-07-31    6.442000e+09
2019-07-31    2.116000e+09
Name: Cash, dtype: float64","
2022-07-31    5.047000e+09
2021-07-31    5.157000e+09
2020-07-31    7.980000e+09
2019-07-31    3.594000e+09
Name: Total Current Assets, dtype: float64"
INTE,,,"
2021-12-31    205653.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -5506544.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -0.037347
dtype: float64","
2021-12-31    1309165.0
Name: Cash, dtype: float64","
2021-12-31    1560108.0
Name: Total Current Assets, dtype: float64"
PGEN,1.044247788,,"
2021-12-31     34645000.0
2020-12-31     42127000.0
2019-12-31    122912000.0
2018-12-31     61562000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    107348000.0
2020-12-31     67174000.0
2019-12-31     71711000.0
2018-12-31    362855000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.322735
2020-12-31    0.627133
2019-12-31    1.713991
2018-12-31    0.169660
dtype: float64","
2021-12-31    42920000.0
2020-12-31    51792000.0
2019-12-31    65793000.0
2018-12-31    96876000.0
Name: Cash, dtype: float64","
2021-12-31    156628000.0
2020-12-31    148948000.0
2019-12-31    234643000.0
2018-12-31    285483000.0
Name: Total Current Assets, dtype: float64"
RHI,1.572022161,0.023,"
2021-12-31    1.358673e+09
2020-12-31    1.046626e+09
2019-12-31    9.406920e+08
2018-12-31    8.195360e+08
Name: Total Current Liabilities, dtype: float64","
2021-12-31    1.381051e+09
2020-12-31    1.205289e+09
2019-12-31    1.143683e+09
2018-12-31    1.063198e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.983796
2020-12-31    0.868361
2019-12-31    0.822511
2018-12-31    0.770822
dtype: float64","
2021-12-31    619001000.0
2020-12-31    574426000.0
2019-12-31    270478000.0
2018-12-31    276579000.0
Name: Cash, dtype: float64","
2021-12-31    2.268547e+09
2020-12-31    1.842738e+09
2019-12-31    1.628849e+09
2018-12-31    1.473610e+09
Name: Total Current Assets, dtype: float64"
COD.L,3.835294118,0.0387,"
2021-12-31    1.515500e+10
2020-12-31    1.384800e+10
2019-12-31    1.314300e+10
2018-12-31    1.338300e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    2.071500e+10
2020-12-31    1.789200e+10
2019-12-31    1.941600e+10
2018-12-31    1.769100e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.731595
2020-12-31    0.773977
2019-12-31    0.676916
2018-12-31    0.756486
dtype: float64","
2021-12-31    6.943000e+09
2020-12-31    8.443000e+09
2019-12-31    4.987000e+09
2018-12-31    2.688000e+09
Name: Cash, dtype: float64","
2021-12-31    2.054200e+10
2020-12-31    2.014700e+10
2019-12-31    1.780300e+10
2018-12-31    1.658900e+10
Name: Total Current Assets, dtype: float64"
BCO.F,,,"
2021-12-31    8.199200e+10
2020-12-31    8.728000e+10
2019-12-31    9.731200e+10
2018-12-31    8.159000e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31   -1.499900e+10
2020-12-31   -1.831600e+10
2019-12-31   -8.617000e+09
2018-12-31    3.390000e+08
Name: Total Stockholder Equity, dtype: float64","
2021-12-31     -5.466498
2020-12-31     -4.765233
2019-12-31    -11.293025
2018-12-31    240.678466
dtype: float64","
2021-12-31    8.052000e+09
2020-12-31    7.752000e+09
2019-12-31    9.485000e+09
2018-12-31    7.637000e+09
Name: Cash, dtype: float64","
2021-12-31    1.086660e+11
2020-12-31    1.216420e+11
2019-12-31    1.022290e+11
2018-12-31    8.783000e+10
Name: Total Current Assets, dtype: float64"
0IFX.L,,,"
2022-03-31    3.513000e+09
2021-03-31    2.964000e+09
2020-03-31    2.664000e+09
2019-03-31    2.265000e+09
Name: Total Current Liabilities, dtype: float64","
2022-03-31    7.625000e+09
2021-03-31    7.840000e+09
2020-03-31    7.461000e+09
2019-03-31    5.331000e+09
Name: Total Stockholder Equity, dtype: float64","
2022-03-31    0.460721
2021-03-31    0.378061
2020-03-31    0.357057
2019-03-31    0.424873
dtype: float64","
2022-03-31    2.732000e+09
2021-03-31    5.260000e+09
2020-03-31    3.768000e+09
2019-03-31    4.708000e+09
Name: Cash, dtype: float64","
2022-03-31    4.151000e+09
2021-03-31    7.213000e+09
2020-03-31    6.517000e+09
2019-03-31    6.381000e+09
Name: Total Current Assets, dtype: float64"
PNW,1.051334702,0.052399997,"
2021-12-31    1.756869e+09
2020-12-31    1.360433e+09
2019-12-31    2.078365e+09
2018-12-31    1.648964e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    5.906200e+09
2020-12-31    5.633503e+09
2019-12-31    5.430648e+09
2018-12-31    5.222915e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.297462
2020-12-31    0.241490
2019-12-31    0.382710
2018-12-31    0.315717
dtype: float64","
2021-12-31     9969000.0
2020-12-31    59968000.0
2019-12-31    10283000.0
2018-12-31     5766000.0
Name: Cash, dtype: float64","
2021-12-31    1.551100e+09
2020-12-31    1.198319e+09
2019-12-31    1.030030e+09
2018-12-31    9.249910e+08
Name: Total Current Assets, dtype: float64"
AIAGY,,0.0342,"
2021-09-30    1.932782e+09
2020-09-30    1.471527e+09
2019-09-30    1.198127e+09
2018-09-30    1.212860e+09
Name: Total Current Liabilities, dtype: float64","
2021-09-30    3.442180e+09
2020-09-30    2.850439e+09
2019-09-30    2.597241e+09
2018-09-30    2.565772e+09
Name: Total Stockholder Equity, dtype: float64","
2021-09-30    0.561499
2020-09-30    0.516246
2019-09-30    0.461308
2018-09-30    0.472708
dtype: float64","
2021-09-30    942435000.0
2020-09-30    481064000.0
2019-09-30    441461000.0
2018-09-30    461045000.0
Name: Cash, dtype: float64","
2021-09-30    4.600749e+09
2020-09-30    3.584929e+09
2019-09-30    2.936608e+09
2018-09-30    3.117013e+09
Name: Total Current Assets, dtype: float64"
JCSE,,,"
2021-12-31    9450000.0
2020-12-31    9619000.0
2019-12-31    8288000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    3023000.0
2020-12-31    5945000.0
2019-12-31    4164000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    3.126034
2020-12-31    1.617998
2019-12-31    1.990394
dtype: float64","
2021-12-31    1108000.0
2020-12-31     550000.0
2019-12-31     843000.0
Name: Cash, dtype: float64","
2021-12-31     7732000.0
2020-12-31    11486000.0
2019-12-31     8999000.0
Name: Total Current Assets, dtype: float64"
XPL,3.125,,"
2021-12-31    276000.0
2020-12-31    174000.0
2019-12-31    269000.0
2018-12-31    688000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31    23183000.0
2020-12-31    23502000.0
2019-12-31    24131000.0
2018-12-31    27090000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.011905
2020-12-31    0.007404
2019-12-31    0.011147
2018-12-31    0.025397
dtype: float64","
2021-12-31    462000.0
2020-12-31    605000.0
2019-12-31    574000.0
2018-12-31    117000.0
Name: Cash, dtype: float64","
2021-12-31     7159000.0
2020-12-31     8049000.0
2019-12-31     8756000.0
2018-12-31    12136000.0
Name: Total Current Assets, dtype: float64"
ERFSF,,0.0162,"
2021-12-31    1.855800e+09
2020-12-31    1.696400e+09
2019-12-31    1.581600e+09
2018-12-31    1.450700e+09
Name: Total Current Liabilities, dtype: float64","
2021-12-31    4.647600e+09
2020-12-31    3.690300e+09
2019-12-31    2.838600e+09
2018-12-31    2.669200e+09
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.399303
2020-12-31    0.459692
2019-12-31    0.557176
2018-12-31    0.543496
dtype: float64","
2021-12-31    515300000.0
2020-12-31    912400000.0
2019-12-31    297000000.0
2018-12-31    506200000.0
Name: Cash, dtype: float64","
2021-12-31    2.319000e+09
2020-12-31    2.518200e+09
2019-12-31    1.604100e+09
2018-12-31    1.705400e+09
Name: Total Current Assets, dtype: float64"
CI,0.994773519,0.014199999,"
2021-12-31    4.357200e+10
2020-12-31    3.602200e+10
2019-12-31    4.013800e+10
2018-12-31    3.189500e+10
Name: Total Current Liabilities, dtype: float64","
2021-12-31    4.711200e+10
2020-12-31    5.032100e+10
2019-12-31    4.533800e+10
2018-12-31    4.102800e+10
Name: Total Stockholder Equity, dtype: float64","
2021-12-31    0.924860
2020-12-31    0.715844
2019-12-31    0.885306
2018-12-31    0.777396
dtype: float64","
2021-12-31    5.081000e+09
2020-12-31    1.018200e+10
2019-12-31    4.619000e+09
2018-12-31    3.855000e+09
Name: Cash, dtype: float64","
2021-12-31    3.613400e+10
2020-12-31    2.778600e+10
2019-12-31    2.984500e+10
2018-12-31    2.039800e+10
Name: Total Current Assets, dtype: float64"
